"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000129";"7";"CALAMEAU CHEMIN DE";"0";"N/A";"2";"2";"0";"1";"9";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000130";"4";"GARE (AVENUE DE LA)";"0";"N/A";"2";"2";"3";"1";"0";"1";"1";"";" -1";"1";"0";"1";"50"
"202100000131";"4";"VAUCRISES (AVENUE DES)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202100000132";"4";"ARRAS (Bld d')";"0";"N/A";"3";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000133";"3";"AIGLON (Rue de l')";"0";"N/A";"2";"2";"0";"2";"10";"362";"1";"";" -1";"1";"5";"1";"50"
"202100000134";"4";"DE GAULLE (Ave Charles)";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000135";"4";"CANADIENS ( Rue des )";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"4";"50"
"202100000136";"4";"BILLIERES (AV ETIENNE) DU 1AU 78";"0";"N/A";"2";"3";"1";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"5";"5"
"202100000137";"4";"CRS GAMBETTA";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"30"
"202100000138";"4";"ROBESPIERRE (RUE)";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000139";"4";"DELON (RUE ANDRE)";"0";"N/A";"1";"1";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"30"
"202100000140";"3";"POMPIDOU (AVENUE GEORGES)";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000141";"4";"BD DES LICES";"0";"N/A";" -1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000142";"3";"N/A";" -1";"N/A";"2";"4";"0";"1";"32";"1100";"1";"";" -1";"1";"0";"1";"90"
"202100000143";"1";"AUTOROUTE A15";"0";"N/A";"3";"5";"0";"1";"10";"0";"1";"";" -1";"1";"0";"1";"110"
"202100000144";"1";"AUTOROUTE A115";"0";"N/A";"3";"4";"0";"2";"1";"0";"1";"";" -1";"1";"0";"1";"70"
"202100000145";"1";"AUTOROUTE A115";"0";"N/A";"3";"4";"0";"1";"5";"0";"1";"";" -1";"1";"0";"1";"90"
"202100000146";"2";"RN 184";"0";"N/A";"3";"4";"0";"2";"3";"0";"3";"";" -1";"2";"0";"1";"70"
"202100000147";"1";"AUTOROUTE A115";"0";"N/A";"3";"4";"0";"1";"10";"0";"1";"";" -1";"2";"0";"1";"90"
"202100000148";"1";"AUTOROUTE A1";"0";"N/A";"3";"6";"0";"1";"17";"200";"1";"";" -1";"1";"0";"1";"110"
"202100000149";"1";"AUTOROUTE A15";"0";"N/A";"3";"6";"0";"1";"10";"100";"2";"";" -1";"3";"0";"2";"110"
"202100000150";"4";"MASCAREIGNES (Avenue des)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000151";"3";"439";" -1";"N/A";"2";"2";"0";"2";"2";"800";"1";"";" -1";"1";"0";"1";"80"
"202100000152";"2";"JAURES (BOULEVARD JEAN)";"0";"N/A";"1";"3";"0";"4";"0";"0";"2";"";" -1";"1";"0";"1";"90"
"202100000153";"3";"765";"0";"D";"2";"2";"0";"1";"74";"400";"1";"";" -1";"1";"0";"1";"80"
"202100000154";"4";"BACCIOCCHI COMTE RUE";"0";"N/A";"1";"1";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000155";"4";"LORETTO CHEMIN";"0";"N/A";"1";"1";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"9";"1";"50"
"202100000156";"2";"ROUTE DU STILETTO";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000157";"2";"MEZZAVIA ROUTE DE";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000158";"4";"N/A";"0";"D";"2";"2";"0";"1";"(1)";"(1)";"4";"";" -1";"1";"0";"1";"80"
"202100000159";"4";"N/A";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"2";"0";"4";"50"
"202100000160";"7";"40";" -1";"F";"2";"2";"0";"1";"(1)";"(1)";"2";"";" -1";"1";"0";"1";"30"
"202100000161";"2";"7";"0";"N/A";"2";"2";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"70"
"202100000162";"4";"CHARLES DE GAULLE (RUE)";"0";"N/A";"2";"2";"2";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000163";"4";"PLACE DE L'EGLISE";"0";"N/A";"2";" -1";"0";"1";"0";"100";"1";"";" -1";"1";"9";"8";"50"
"202100000164";"3";"DE GAULLE (AV DU GAL) APRES N°26";"0";"N/A";"2";"2";"2";"1";"0";"0";"3";"";" -1";"1";"0";"1";"50"
