"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202000000305";"23";"6";"2020";"14:45";"1";"31";"31555";"2";"1";"1";"2";"RTE DE NARBONNE";"43,5714100";"1,4539000"
"202000000306";"22";"6";"2020";"11:50";"1";"30";"30189";"2";"2";"1";"3";"CURIE PIERRE (RUE)";"43,8358000";"4,3769000"
"202000000307";"24";"6";"2020";"13:55";"1";"28";"28134";"2";"1";"1";" -1";"SAINT THIBAULT (RUE)";"48,7362900";"1,3631800"
"202000000308";"18";"6";"2020";"19:40";"1";"18";"18033";"2";"1";"1";"6";"PLANCHAT (PLACE)";"47,0855000";"2,3530700"
"202000000309";"24";"6";"2020";"12:39";"1";"17";"17300";"2";"1";"1";"6";"STADE   RUE DU";"46,1603800";" -1,1780000"
"202000000310";"23";"6";"2020";"11:28";"1";"17";"17300";"2";"2";"1";"5";"SARTRE   AVENUE JEAN-PAUL";"46,1545100";" -1,1169400"
"202000000311";"19";"6";"2020";"22:40";"5";"13";"13071";"1";"1";"1";"1";"ROUTE NATIONALE 368 (PLAN DES PENNES)";"43,4051940";"5,2831270"
"202000000312";"24";"6";"2020";"23:35";"5";"13";"13213";"2";"3";"1";"3";"GEMY (BOULEVARD)";"43,3222000";"5,4126800"
"202000000313";"24";"6";"2020";"10:40";"1";"13";"13211";"2";"3";"1";"3";"VALBARELLE (CHEMIN DE LA)";"43,2885300";"5,4544000"
"202000000314";"23";"6";"2020";"15:20";"1";"13";"13206";"2";"4";"1";"3";"LIEUTAUD (COURS)";"43,2917703";"5,3829780"
"202000000315";"23";"6";"2020";"09:30";"1";"11";"11262";"2";"1";"1";"6";"HUGO (QUAI ET PASSERELLE VICTOR)";"43,1813780";"3,0081480"
"202000000316";"22";"6";"2020";"17:20";"1";"11";"11069";"1";"6";"1";"2";"RD 6113";"43,2303388";"2,3437545"
"202000000317";"23";"6";"2020";"11:00";"1";"75";"75112";"2";"4";"1";"3";"BOULEVARD PERIPHERIQUE";"48,8268660";"2,3896630"
"202000000318";"24";"6";"2020";"20:10";"1";"75";"75119";"2";"3";"1";"2";"BOULEVARD SERURIER";"48,8850390";"2,3944660"
"202000000319";"24";"6";"2020";"17:50";"1";"75";"75119";"2";"3";"1";"2";"RUE DE BELLEVILLE";"48,8734020";"2,3826100"
"202000000320";"24";"6";"2020";"03:00";"5";"75";"75119";"2";"3";"1";"3";"AVENUE CORENTIN CARIOU";"48,8960940";"2,3840900"
"202000000321";"24";"6";"2020";"15:35";"1";"75";"75118";"2";"1";"1";"3";"BOULEVARD BARBES";"48,8911560";"2,3496290"
"202000000322";"24";"6";"2020";"00:45";"5";"75";"75118";"2";"3";"1";" -1";"RUE DE LA CHAPELLE";"48,8920140";"2,3598400"
"202000000323";"24";"6";"2020";"10:00";"1";"75";"75116";"2";"2";"1";"3";"AVENUE MARCEAU";"48,8674470";"2,2992430"
"202000000324";"24";"6";"2020";"10:00";"1";"75";"75116";"2";"3";"1";"6";"RUE D AUTEUIL";"48,8480460";"2,2636560"
